ECInstanceId,ECClassId,UserLabel,category,Material,Volume,unit,height
0xb00000034e7,IFCDynamic.IfcColumn,UC-Universal Column-Column:356x368x177UC:158538,S-_COLN----_E,Metal - Steel - 345 MPa,0.274934519999985,m3,NULL
0xb00000034e9,IFCDynamic.IfcColumn,UC-Universal Column-Column:356x368x177UC:158657,S-_COLN----_E,Metal - Steel - 345 MPa,0.272699279999986,m3,NULL
0xb00000034ea,IFCDynamic.IfcColumn,UC-Universal Column-Column:356x368x177UC:158705,S-_COLN----_E,Metal - Steel - 345 MPa,0.274934519999985,m3,NULL
0xb00000034eb,IFCDynamic.IfcColumn,UC-Universal Column-Column:356x368x177UC:158837,S-_COLN----_E,Metal - Steel - 345 MPa,0.272699279999986,m3,NULL
0xb00000034ec,IFCDynamic.IfcColumn,UC-Universal Column-Column:356x368x177UC:159047,S-_COLN----_E,Metal - Steel - 345 MPa,0.274934519999985,m3,NULL
0xb00000034ed,IFCDynamic.IfcColumn,UC-Universal Column-Column:356x368x177UC:159099,S-_COLN----_E,Metal - Steel - 345 MPa,0.274934519999985,m3,NULL
0xb00000034ee,IFCDynamic.IfcColumn,UC-Universal Column-Column:356x368x177UC:159349,S-_COLN----_E,Metal - Steel - 345 MPa,0.274934519999985,m3,NULL
0xb00000034ef,IFCDynamic.IfcColumn,UC-Universal Column-Column:356x368x177UC:159493,S-_COLN----_E,Metal - Steel - 345 MPa,0.274934519999985,m3,NULL
0xb00000034f0,IFCDynamic.IfcColumn,UC-Universal Column-Column:356x368x177UC:159566,S-_COLN----_E,Metal - Steel - 345 MPa,0.274934519999985,m3,NULL
0xb00000034f1,IFCDynamic.IfcColumn,UC-Universal Column-Column:356x368x177UC:159759,S-_COLN----_E,Metal - Steel - 345 MPa,0.274934519999985,m3,NULL
0xb00000034f2,IFCDynamic.IfcColumn,UC-Universal Column-Column:356x368x177UC:168874,S-_COLN----_E,Metal - Steel - 345 MPa,0.274934519999985,m3,NULL
0xb00000034f3,IFCDynamic.IfcColumn,UC-Universal Column-Column:356x368x177UC:168980,S-_COLN----_E,Metal - Steel - 345 MPa,0.274934519999985,m3,NULL
